Line	Year 1924–1983	Year 1984–2043	Associated element	Heavenly stem	Earthly branch	Associated animal
1	Feb 05 1924–Jan 23 1925	Feb 02 1984–Feb 19 1985	Yang Wood	甲	子	Rat
2	Jan 24 1925–Feb 12 1926	Feb 20 1985–Feb 08 1986	Yin Wood	乙	丑	Ox
3	Feb 13 1926–Feb 01 1927	Feb 09 1986–Jan 28 1987	Yang Fire	丙	寅	Tiger
4	Feb 02 1927–Jan 22 1928	Jan 29 1987–Feb 16 1988	Yin Fire	丁	卯	Rabbit
5	Jan 23 1928–Feb 09 1929	Feb 17 1988–Feb 05 1989	Yang Earth	戊	辰	Dragon
6	Feb 10 1929–Jan 29 1930	Feb 06 1989–Jan 26 1990	Yin Earth	己	巳	Snake
7	Jan 30 1930–Feb 16 1931	Jan 27 1990–Feb 14 1991	Yang Metal	庚	午	Horse
8	Feb 17 1931–Feb 05 1932	Feb 15 1991–Feb 03 1992	Yin Metal	辛	未	Goat
9	Feb 06 1932–Jan 25 1933	Feb 04 1992–Jan 22 1993	Yang Water	壬	申	Monkey
10	Jan 26 1933–Feb 13 1934	Jan 23 1993–Feb 09 1994	Yin Water	癸	酉	Rooster
11	Feb 14 1934–Feb 03 1935	Feb 10 1994–Jan 30 1995	Yang Wood	甲	戌	Dog
12	Feb 04 1935–Jan 23 1936	Jan 31 1995–Feb 18 1996	Yin Wood	乙	亥	Pig
13	Jan 24 1936–Feb 10 1937	Feb 19 1996–Feb 06 1997	Yang Fire	丙	子	Rat
14	Feb 11 1937–Jan 30 1938	Feb 07 1997–Jan 27 1998	Yin Fire	丁	丑	Ox
15	Jan 31 1938–Feb 18 1939	Jan 28 1998–Feb 15 1999	Yang Earth	戊	寅	Tiger
16	Feb 19 1939–Feb 07 1940	Feb 16 1999–Feb 04 2000	Yin Earth	己	卯	Rabbit
17	Feb 08 1940–Jan 26 1941	Feb 05 2000–Jan 23 2001	Yang Metal	庚	辰	Dragon
18	Jan 27 1941–Feb 14 1942	Jan 24 2001–Feb 11 2002	Yin Metal	辛	巳	Snake
19	Feb 15 1942–Feb 04 1943	Feb 12 2002–Jan 31 2003	Yang Water	壬	午	Horse
